cve_ent_mun,fecha,confirmados,decesos,pruebas,indice_vulnerabilidad
11007,12/4/2020,5,2,110,vulnerabilidad media
11008,12/4/2020,0,0,6,sin vulnerabilidad
11009,12/4/2020,0,0,2,vulnerabilidad media
11010,12/4/2020,0,0,0,sin vulnerabilidad
11011,12/4/2020,1,0,12,sin vulnerabilidad
11012,12/4/2020,0,0,6,sin vulnerabilidad
11013,12/4/2020,0,0,0,sin vulnerabilidad
11014,12/4/2020,0,1,16,vulnerabilidad baja
11015,12/4/2020,7,2,45,sin vulnerabilidad
11016,12/4/2020,0,0,2,sin vulnerabilidad
11017,12/4/2020,9,6,107,vulnerabilidad baja
11018,12/4/2020,0,0,4,sin vulnerabilidad
11019,12/4/2020,0,0,18,sin vulnerabilidad
11020,12/4/2020,34,1,1022,vulnerabilidad baja
11021,12/4/2020,1,0,13,vulnerabilidad media
11022,12/4/2020,0,0,9,sin vulnerabilidad
11023,12/4/2020,0,1,11,sin vulnerabilidad
11024,12/4/2020,0,0,1,sin vulnerabilidad
11025,12/4/2020,0,0,8,vulnerabilidad baja
11026,12/4/2020,0,1,11,vulnerabilidad baja
11027,12/4/2020,17,3,84,vulnerabilidad baja
11028,12/4/2020,0,0,15,vulnerabilidad baja
11029,12/4/2020,0,0,3,vulnerabilidad media
11030,12/4/2020,0,1,13,vulnerabilidad media
11031,12/4/2020,0,0,31,vulnerabilidad baja
11032,12/4/2020,0,0,5,sin vulnerabilidad
11033,12/4/2020,1,1,12,vulnerabilidad media
11034,12/4/2020,0,0,1,vulnerabilidad media
11035,12/4/2020,0,0,2,vulnerabilidad media
11036,12/4/2020,0,0,0,sin vulnerabilidad
11037,12/4/2020,1,0,26,vulnerabilidad media
11038,12/4/2020,0,0,2,sin vulnerabilidad
11039,12/4/2020,0,0,0,sin vulnerabilidad
11040,12/4/2020,0,0,2,vulnerabilidad media
11041,12/4/2020,0,1,10,vulnerabilidad media
11042,12/4/2020,1,0,15,sin vulnerabilidad
11043,12/4/2020,0,0,1,vulnerabilidad media
11044,12/4/2020,0,0,7,vulnerabilidad media
11045,12/4/2020,0,0,1,vulnerabilidad media
11046,12/4/2020,1,0,7,sin vulnerabilidad
12001,12/4/2020,40,4,259,vulnerabilidad alta
12002,12/4/2020,1,0,3,vulnerabilidad media
12003,12/4/2020,0,0,1,vulnerabilidad alta
12004,12/4/2020,0,0,0,vulnerabilidad media
12005,12/4/2020,0,0,0,vulnerabilidad baja
12006,12/4/2020,0,0,1,vulnerabilidad media
12007,12/4/2020,0,0,0,vulnerabilidad media
12008,12/4/2020,1,0,1,vulnerabilidad media
12009,12/4/2020,0,0,0,vulnerabilidad media
12010,12/4/2020,0,0,1,vulnerabilidad media
12011,12/4/2020,0,0,4,vulnerabilidad baja
12012,12/4/2020,0,0,4,vulnerabilidad media
12013,12/4/2020,0,0,1,vulnerabilidad alta
12014,12/4/2020,0,0,2,vulnerabilidad media
12015,12/4/2020,0,0,1,vulnerabilidad baja
12016,12/4/2020,0,0,0,vulnerabilidad media
12017,12/4/2020,1,1,1,vulnerabilidad alta
12018,12/4/2020,0,0,1,vulnerabilidad media
12019,12/4/2020,0,0,0,vulnerabilidad media
12020,12/4/2020,0,0,1,vulnerabilidad media
